AB型	AB型 🆎
AB型血	AB型血 🆎
ATM	ATM 🏧
A型	A型 🅰️
A型血	A型血 🅰️
B型	B型 🅱️
B型血	B型血 🅱️
DNA	DNA 🧬
ID	ID 🆔 🪪
NG	NG 🆖
OK	OK 🆗
O型	O型 🅾️
O型血	O型血 🅾️
SOS	SOS 🆘
WC	WC 🚾
WIFI	WIFI 🛜
WLAN	WLAN 🛜
X光	X光 🩻
〇	〇 0️⃣
〇鍵	〇鍵 0️⃣
㖿	㖿 ✌️
䁪單眼	䁪單眼 😉
䘆	䘆 🪱
一	一 ☝️ 1️⃣
一人	一人 👤
一個人	一個人 👤
一條蟲	一條蟲 🐛
一涿屎	一涿屎 💩
一百分	一百分 💯
一箭穿心	一箭穿心 💘
一語中的	一語中的 🎯
一鍵	一鍵 1️⃣
一鑊熟	一鑊熟 🥘
一頭霧水	一頭霧水 😶‍🌫️
一點	一點 🕐
一點半	一點半 🕜
一點正	一點正 🕐
一點鐘	一點鐘 🕐
七	七 7️⃣
七夕	七夕 🎋
七夕樹	七夕樹 🎋
七夕節	七夕節 🎋
七星瓢蟲	七星瓢蟲 🐞
七鍵	七鍵 7️⃣
七點	七點 🕖
七點半	七點半 🕢
七點正	七點正 🕖
七點鐘	七點鐘 🕖
三	三 3️⃣
三不猴	三不猴 🙈 🙉 🙊
三分褲	三分褲 🩳
三叉戟	三叉戟 🔱
三文治	三文治 🥪
三明治	三明治 🥪
三猿	三猿 🙈 🙉 🙊
三葉草	三葉草 ☘️
三角尺	三角尺 📐
三角旗	三角旗 🚩
三角豆餅	三角豆餅 🧆
三輪車	三輪車 🛺
三鍵	三鍵 3️⃣
三點	三點 🕒
三點半	三點半 🕞
三點正	三點正 🕒
三點裝	三點裝 👙
三點鐘	三點鐘 🕒
上	上 👆 🆙
上下	上下 ↕️
上下箭頭	上下箭頭 ↕️
上凸月	上凸月 🌔
上弦月	上弦月 🌛 🌓
上指	上指 👆
上昇	上昇 📈
上漲	上漲 📈
上箭頭	上箭頭 ⬆️
上課	上課 👩🏻‍🏫 👨🏻‍🏫
上進	上進 ⏫
上邊	上邊 👆
上鎖	上鎖 🔒
上面	上面 👆
上高	上高 👆
下	下 👇
下低	下低 👇
下凸月	下凸月 🌖
下底	下底 👇
下弦月	下弦月 🌜 🌗
下指	下指 👇
下箭頭	下箭頭 ⬇️
下肢	下肢 🦵
下跌	下跌 📉
下跪	下跪 🧎🏻‍♀️ 🧎🏻‍♂️ 🧎🏻‍♀️‍➡️ 🧎🏻‍♂️‍➡️
